amfi_code,scheme_name,fund_house,category,return_3yr_pct,expense_ratio_pct,sharpe_ratio,alpha,max_drawdown,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,1.36,1.1801011976606492,0.300695178354917,-0.18188513572116294,0.825,0.9,0.975,0.625,0.6,82.125
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,1.43,0.9453082575156095,0.2995072440698805,-0.2870600572176455,1.0,0.675,0.95,0.475,0.875,81.75
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,1.52,0.9497958246616031,0.30684399095616777,-0.31171900300634214,0.875,0.7,1.0,0.3375,0.9,77.8125
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,1.45,1.3067439695428409,0.27432442337115226,-0.1297396816518679,0.75,0.975,0.9,0.44999999999999996,0.30000000000000004,74.625
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,1.38,1.093698743534631,0.2642483256820167,-0.16217208574644848,0.775,0.85,0.8,0.575,0.475,73.875
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,1.38,0.9982309868636413,0.26513044102622924,-0.20960883862039192,0.65,0.75,0.825,0.575,0.675,70.125
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,1.61,1.1321218524747243,0.2660366987533587,-0.17248105753451382,0.8,0.875,0.85,0.050000000000000044,0.525,68.875
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,1.46,1.4482911703262598,0.2708329302908048,-0.11265729075028275,0.6,1.0,0.875,0.42500000000000004,0.17500000000000004,68.625
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,0.8,1.0265242847993001,0.21513266006952858,-0.12588275606922517,0.525,0.775,0.75,0.7,0.275,63.375
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,13.58,1.6,1.2349300257743294,0.2803496275085804,-0.1639674294693263,0.45,0.95,0.925,0.08750000000000002,0.5,62.0625
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,1.51,1.0816591793457042,0.2109595283961784,-0.17414075086657232,0.5,0.825,0.7,0.38749999999999996,0.55,60.9375
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,0.72,-0.05718662582817995,0.05335417108295878,-0.5257422117012851,0.975,0.225,0.15,0.8625,0.975,60.5625
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,20.15,1.53,0.44843400890899127,0.17087410496605077,-0.2334488614483311,0.9,0.375,0.575,0.2875,0.775,59.9375
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.36,1.54,1.2082665673727175,0.22724699746087035,-0.1501238549864533,0.375,0.925,0.775,0.23750000000000004,0.4,57.4375
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,1.53,0.16266076928646772,0.10950664012488427,-0.3544691649336603,0.95,0.325,0.35,0.2875,0.925,57.1875
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,1.52,0.9262873467360144,0.20535877088222743,-0.1527259422823477,0.55,0.65,0.675,0.3375,0.44999999999999996,55.8125
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,14.76,1.41,0.6488787755249532,0.16740701728117427,-0.1982565826298267,0.575,0.525,0.55,0.525,0.65,55.75
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,15.29,0.78,0.30061192104254786,0.11500244161242988,-0.21117279560132118,0.675,0.35,0.375,0.75,0.7,54.75
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,0.92,0.7757902498211205,0.1831002678731776,-0.15200013055606398,0.425,0.575,0.625,0.65,0.42500000000000004,53.625
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,20.98,1.38,-0.0759735711747892,0.046528772343052076,-0.5167775370852656,0.925,0.2,0.1,0.575,0.95,52.875
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,11.3,0.66,0.9532794968660104,0.2039428438800893,-0.11803493502764295,0.175,0.725,0.65,0.9,0.25,52.375
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,0.72,0.6452074382933215,0.15890201510856994,-0.18629743138595511,0.35,0.5,0.5,0.8625,0.625,52.1875
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,1.6,1.0272133278753695,0.21205761464647946,-0.11291596329323073,0.475,0.8,0.725,0.08750000000000002,0.19999999999999996,52.0625
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,1.64,0.6195175900829828,0.15872952704223287,-0.21539827112383225,0.7,0.475,0.475,0.012499999999999956,0.725,49.8125
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,1.56,0.07599984804658923,0.06966737465684657,-0.24003511326274884,0.85,0.275,0.275,0.17500000000000004,0.8,48.5
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,11.54,1.42,0.7979728586052847,0.18269893788833727,-0.13897862823061635,0.2,0.6,0.6,0.5,0.32499999999999996,43.75
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,0.75,0.12961449795669328,0.08725151246262629,-0.21751396370148224,0.3,0.3,0.325,0.8,0.75,42.5
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,0.89,0.664856998549062,0.15200770537265443,-0.1165062450540909,0.225,0.55,0.45,0.675,0.22499999999999998,41.875
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,1.51,-0.20583160785470309,0.023798394915847256,-0.2800112356639287,0.725,0.125,0.025,0.38749999999999996,0.85,39.6875
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,12.1,1.57,0.8170993373494367,0.16489044537151856,-0.1085986215250232,0.275,0.625,0.525,0.15000000000000002,0.15000000000000002,38.125
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,1.54,0.46403744922047774,0.12952736208276025,-0.14844576917771746,0.4,0.4,0.425,0.23750000000000004,0.375,37.8125
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,12.25,1.59,0.4942725378672349,0.12466825611914552,-0.1757361416468729,0.325,0.425,0.4,0.125,0.575,36.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,14.84,1.55,-0.20151706755966936,0.03769796804017839,-0.24734440880673303,0.625,0.15,0.05,0.19999999999999996,0.825,34.75
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.68,0.74,0.4957233929533123,0.06736904061567325,-0.0009773140045925555,0.15,0.45,0.25,0.825,0.0,33.125
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.18,0.6,-0.08874729621557288,0.06441685161588705,-0.0011629327956168556,0.1,0.175,0.225,0.925,0.025000000000000022,26.0
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,11.84,1.64,0.03078485095458594,0.07296598168832112,-0.1440161790933726,0.25,0.25,0.3,0.012499999999999956,0.35,23.4375
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,5.31,0.55,-0.35662950751436784,0.051058806826068115,-0.08316361763638702,0.05,0.075,0.125,0.975,0.125,21.75
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,7.37,0.56,-0.5670947928476846,0.04372241493179381,-0.04308263824636349,0.125,0.05,0.075,0.95,0.07499999999999996,21.5
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,6.07,0.77,-0.22657538662791576,0.05699742334913949,-0.04328728923970093,0.075,0.1,0.175,0.775,0.09999999999999998,20.875
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.14,0.79,-0.8155673679088263,0.06081158912153361,-0.0016224980244717857,0.025,0.025,0.2,0.725,0.050000000000000044,16.75
